Barcode;Name;Price
0101;Pomarañcze;4,36
0102;Jab³ka;3,21
0103;Banany;2,99
0104;Sa³ata;1,99
0105;Pomidory;2,59
0201;Mleko ;1,99
0202;Ser;19,9
0203;Jaja;5,99
0204;Twaróg;3,99
0301;Wo³owina;28,8
0302;Drób;23,49
0303;Szynka;17,99
0401;Sok;2,99
0402;Kawa;11,99
0403;Herbata;3,69
0404;Woda;1,99
0501;Makaron;2,99
0502;Ry¿;1,99
0601;Konserwy;5,59
0602;Mieszanka suszona;4,39
0701;Bu³ki;0,69
0702;Chleb;2
0801;Chipsy ziemniaczane;4,99
0802;Precle;2,59
0803;Lody;0,99
0804;Ciastka;14,99
0901;Talerze papierowe;2,99
0902;Serwetki;4,99
0903;Kubki;3,59
0904;Œwieczki;6,99
